filename,variance_of_laplacian
000949.jpg,18.6959
000950.jpg,18.2120
000951.jpg,16.3754
000952.jpg,15.4101
000953.jpg,15.3216
000954.jpg,14.9197
000955.jpg,15.7543
000956.jpg,16.2397
000957.jpg,17.3181
000958.jpg,17.3096
000959.jpg,17.5967
000960.jpg,18.0816
000961.jpg,18.0059
000962.jpg,18.2338
000963.jpg,17.9513
000964.jpg,17.8589
000965.jpg,18.2762
000966.jpg,18.7321
000967.jpg,18.8166
000968.jpg,18.7047
000969.jpg,18.6787
000970.jpg,18.6772
000971.jpg,18.5200
000972.jpg,18.6045
000973.jpg,18.3522
000974.jpg,18.3475
000975.jpg,18.1937
000976.jpg,18.0609
000977.jpg,18.0718
000978.jpg,18.1363
000979.jpg,18.2259
000980.jpg,18.5670
000981.jpg,17.8763
000982.jpg,15.1037
000983.jpg,15.7581
000984.jpg,16.8732
000985.jpg,16.3599
000986.jpg,15.6976
000987.jpg,15.4580
000988.jpg,14.4598
000989.jpg,14.7990
000990.jpg,15.7805
000991.jpg,15.0182
000992.jpg,19.9792
000993.jpg,19.2972
000994.jpg,19.0740
000995.jpg,21.3053
000996.jpg,22.9790
000997.jpg,26.8593
000998.jpg,26.8355
000999.jpg,30.6262
001000.jpg,28.9304
001001.jpg,31.7333
001002.jpg,31.8254
001003.jpg,27.7701
001004.jpg,28.6108
001005.jpg,34.2173
001006.jpg,29.7123
001007.jpg,21.6128
001008.jpg,22.7397
001009.jpg,17.0609
001010.jpg,13.9318
001011.jpg,13.2012
001012.jpg,12.7769
001013.jpg,12.3657
001014.jpg,12.7504
001015.jpg,13.6202
001016.jpg,13.8117
001017.jpg,13.5603
001018.jpg,13.9313
001019.jpg,13.7228
001020.jpg,13.6944
001021.jpg,13.6924
001022.jpg,14.1055
001023.jpg,14.5035
001024.jpg,14.9519
001025.jpg,18.7479
001026.jpg,18.7564
001027.jpg,19.1124
001028.jpg,19.5402
001029.jpg,20.0407
001030.jpg,21.0261
001031.jpg,21.2698
001032.jpg,20.1846
001033.jpg,19.1330
001034.jpg,20.1426
001035.jpg,21.2689
001036.jpg,21.5424
001037.jpg,21.2947
001038.jpg,20.9813
001039.jpg,22.1670
001040.jpg,19.7839
001041.jpg,18.6661
001042.jpg,19.5460
001043.jpg,21.9589
001044.jpg,22.4601
001045.jpg,28.9456
001046.jpg,28.0876
001047.jpg,29.5292
001048.jpg,27.5775
001049.jpg,26.9897
001050.jpg,26.9938
001051.jpg,26.2762
001052.jpg,26.5301
001053.jpg,26.7746
001054.jpg,24.9210
001055.jpg,23.8707
001056.jpg,22.7746
001057.jpg,19.1601
001058.jpg,18.1575
001059.jpg,18.0269
001060.jpg,18.0310
001061.jpg,18.9922
001062.jpg,19.9107
001063.jpg,18.7966
001064.jpg,20.1557
001065.jpg,20.7234
001066.jpg,20.7798
001067.jpg,19.1942
001068.jpg,21.6424
001069.jpg,20.7644
001070.jpg,22.9153
001071.jpg,22.1542
001072.jpg,22.2780
001073.jpg,23.4992
001074.jpg,23.5570
001075.jpg,23.6145
001076.jpg,23.3598
001077.jpg,23.5225
001078.jpg,24.6956
001079.jpg,24.1007
001080.jpg,22.3331
001081.jpg,20.9073
001082.jpg,18.1849
001083.jpg,11.0763
001084.jpg,7.8082
001085.jpg,7.0591
001086.jpg,8.0611
001087.jpg,9.8443
001088.jpg,10.2388
001089.jpg,10.0698
001090.jpg,10.3304
001091.jpg,9.8990
001092.jpg,10.5834
001093.jpg,10.5324
001094.jpg,15.1280
001095.jpg,11.8478
001096.jpg,11.7938
001097.jpg,11.1537
001098.jpg,10.9581
001099.jpg,10.9713
001100.jpg,16.7589
001101.jpg,20.7617
001102.jpg,20.7486
001103.jpg,20.0179
001104.jpg,20.9913
001105.jpg,21.1578
001106.jpg,20.8736
001107.jpg,20.3211
001108.jpg,20.1743
001109.jpg,19.1915
001110.jpg,19.0358
001111.jpg,32.2633
001112.jpg,24.8490
001113.jpg,18.5175
001114.jpg,17.6216
001115.jpg,17.1021
001116.jpg,17.1037
001117.jpg,23.4603
001118.jpg,17.1861
001119.jpg,16.7906
001120.jpg,20.1453
001121.jpg,24.8710
001122.jpg,29.2085
001123.jpg,29.6985
001124.jpg,29.6925
001125.jpg,30.7237
001126.jpg,29.3824
001127.jpg,40.8614
001128.jpg,41.3427
001129.jpg,41.9834
001130.jpg,41.9019
001131.jpg,42.4717
001132.jpg,43.4615
001133.jpg,44.2722
001134.jpg,44.2401
001135.jpg,43.8516
001136.jpg,43.5444
001137.jpg,43.3061
001138.jpg,42.8842
001139.jpg,42.6877
001140.jpg,42.2629
001141.jpg,41.9908
001142.jpg,41.8813
001143.jpg,41.9782
001144.jpg,42.2316
001145.jpg,42.2070
001146.jpg,42.3252
001147.jpg,43.0902
001148.jpg,43.0853
001149.jpg,43.2121
001150.jpg,43.1333
001151.jpg,43.4147
001152.jpg,43.2663
001153.jpg,42.2052
001154.jpg,41.4972
001155.jpg,41.8290
001156.jpg,42.1714
001157.jpg,42.5836
001158.jpg,42.6768
001159.jpg,42.9268
001160.jpg,43.0583
